epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5355,3.37258,4.2707,2.20605,0.00078,0.00149,0.00041,6e-05,2.58951,4.13052,1.75102,0.0001125,0.0001125,0.0001125
2,113.004,3.1048,3.79794,1.81996,0.00956,0.02639,0.00903,0.00246,2.4676,3.98275,1.61176,0.000235149,0.000235149,0.000235149
3,170.628,3.00287,3.2454,1.66536,0.02607,0.2403,0.06362,0.01644,2.5512,3.71611,1.67287,0.000355322,0.000355322,0.000355322
4,227.613,2.96163,2.8022,1.60595,0.6139,0.16324,0.13106,0.05148,2.39343,3.23049,1.56959,0.000473021,0.000473021,0.000473021
5,285.412,2.93805,2.64594,1.60166,0.08949,0.29106,0.13592,0.05944,2.51615,3.77778,1.59282,0.000588245,0.000588245,0.000588245
1,56.9539,3.37258,4.2707,2.20605,0.00078,0.00149,0.00041,6e-05,2.58951,4.13052,1.75102,0.0001125,0.0001125,0.0001125
2,113.786,3.1048,3.79794,1.81996,0.00956,0.02639,0.00903,0.00246,2.4676,3.98275,1.61176,0.000235149,0.000235149,0.000235149
3,173.485,3.00287,3.2454,1.66536,0.02607,0.2403,0.06362,0.01644,2.5512,3.71611,1.67287,0.000355322,0.000355322,0.000355322
4,230.567,2.96163,2.8022,1.60595,0.6139,0.16324,0.13106,0.05148,2.39343,3.23049,1.56959,0.000473021,0.000473021,0.000473021
5,287.7,2.93805,2.64594,1.60166,0.08949,0.29106,0.13592,0.05944,2.51615,3.77778,1.59282,0.000588245,0.000588245,0.000588245
6,344.782,2.95108,2.49573,1.56024,0.34208,0.27579,0.12268,0.04951,2.40232,3.10429,1.56939,0.000700994,0.000700994,0.000700994
7,401.136,2.91066,2.37853,1.55208,0.0555,0.28963,0.04743,0.01918,2.36488,3.18058,1.54772,0.000811267,0.000811267,0.000811267
8,458.777,2.93295,2.3572,1.55852,0.0831,0.30567,0.06761,0.02402,2.41559,3.04298,1.5725,0.000919066,0.000919066,0.000919066
9,514.668,2.80257,2.1872,1.55329,0.07417,0.29944,0.10064,0.03418,2.42216,2.73622,1.59371,0.00102439,0.00102439,0.00102439
10,570.844,2.76328,2.13407,1.54208,0.17621,0.30281,0.1308,0.0502,2.30998,2.38485,1.53798,0.00112724,0.00112724,0.00112724
11,626.604,2.63874,2.03278,1.50817,0.15161,0.18858,0.11172,0.03765,2.62239,2.48386,1.71881,0.00112625,0.00112625,0.00112625
12,684.44,2.71707,1.86369,1.52671,0.16518,0.19789,0.12175,0.05001,2.38172,2.46083,1.57671,0.00111388,0.00111388,0.00111388
13,740.783,2.65698,1.93396,1.53679,0.18378,0.22039,0.15527,0.0628,2.46755,2.47029,1.65874,0.0011015,0.0011015,0.0011015
14,797.997,2.64663,1.87761,1.51076,0.22304,0.29722,0.18358,0.08097,2.42457,2.36209,1.59245,0.00108913,0.00108913,0.00108913
15,856.571,2.55714,1.81021,1.54644,0.31325,0.3158,0.28451,0.11108,2.4809,2.19745,1.64833,0.00107675,0.00107675,0.00107675
16,913.004,2.53942,1.81721,1.54574,0.38622,0.46838,0.40285,0.1891,2.39687,2.10261,1.6531,0.00106437,0.00106437,0.00106437
17,971.052,2.51868,1.71699,1.50576,0.55533,0.25443,0.24168,0.09495,2.36752,2.39244,1.55546,0.001052,0.001052,0.001052
